region,round,slot,cut,prefix_ms,gpu_frame_ms,tail_ms,wall_ms
0,0,0,0,0.000000000,14.767900467,14.767900467,15.609400000
0,0,1,1,1.631760001,15.115159988,13.483400345,15.493200000
0,0,2,1,1.339580059,14.939479828,13.599900246,15.294200000
0,0,3,0,0.000000000,15.169099808,15.169099808,15.453000000
0,1,0,0,0.000000000,15.077540398,15.077540398,15.381900000
0,1,1,1,1.311179996,15.234379768,13.923199654,15.568000000
0,1,2,1,1.261520028,14.809519768,13.548000336,15.166200000
0,1,3,0,0.000000000,15.158020020,15.158020020,15.485500000
0,2,0,0,0.000000000,15.076080322,15.076080322,15.375100000
0,2,1,1,1.307899952,14.858099937,13.550200462,15.136400000
0,2,2,1,1.334380031,15.285180092,13.950799942,15.692800000
0,2,3,0,0.000000000,15.306300163,15.306300163,15.675400000
0,3,0,0,0.000000000,15.060859680,15.060859680,15.531200000
0,3,1,1,1.284780025,14.916279793,13.631500244,15.263200000
0,3,2,1,1.233379960,14.781279564,13.547900200,15.184800000
0,3,3,0,0.000000000,15.164019585,15.164019585,15.473300000
0,4,0,0,0.000000000,15.228500366,15.228500366,15.584400000
0,4,1,1,1.383479953,15.097279549,13.713800430,15.511200000
0,4,2,1,1.245759964,14.827960014,13.582200050,15.194300000
0,4,3,0,0.000000000,15.110039711,15.110039711,15.455700000
0,5,0,0,0.000000000,15.588560104,15.588560104,15.938600000
0,5,1,1,1.215520024,14.786620140,13.571100235,15.308500000
0,5,2,1,1.193240047,14.824440002,13.631199837,15.244600000
0,5,3,0,0.000000000,15.169759750,15.169759750,15.580400000
0,6,0,0,0.000000000,14.986240387,14.986240387,15.391000000
0,6,1,1,1.300519943,14.843119621,13.542599678,15.240100000
0,6,2,1,1.316599965,14.822699547,13.506099701,15.203500000
0,6,3,0,0.000000000,15.112520218,15.112520218,15.500700000
0,7,0,0,0.000000000,15.040100098,15.040100098,15.371500000
0,7,1,1,1.310700059,14.933699608,13.623000145,15.271700000
0,7,2,1,1.248080015,14.883480072,13.635399818,15.252300000
0,7,3,0,0.000000000,15.064220428,15.064220428,15.489500000
0,8,0,0,0.000000000,15.422280312,15.422280312,15.768400000
0,8,1,1,1.291620016,14.944919586,13.653300285,15.266700000
0,8,2,1,1.311300039,15.251099586,13.939800262,15.670500000
0,8,3,0,0.000000000,15.205039978,15.205039978,15.526200000
0,9,0,0,0.000000000,15.015899658,15.015899658,15.591500000
0,9,1,1,1.299759984,14.752659798,13.452899933,15.199700000
0,9,2,1,1.257539988,14.852740288,13.595199585,15.299000000
0,9,3,0,0.000000000,15.183679581,15.183679581,15.607600000
0,10,0,0,0.000000000,15.122900009,15.122900009,15.535700000
0,10,1,1,1.188420057,14.777319908,13.588899612,15.191300000
0,10,2,1,1.410359979,14.911160469,13.500800133,15.332200000
0,10,3,0,0.000000000,15.048740387,15.048740387,15.479600000
0,11,0,0,0.000000000,15.017359734,15.017359734,15.416700000
0,11,1,1,1.313779950,14.921480179,13.607700348,15.292800000
0,11,2,1,1.218760014,14.991559982,13.772800446,15.388300000
0,11,3,0,0.000000000,15.216340065,15.216340065,15.690300000
0,12,0,0,0.000000000,15.494939804,15.494939804,15.962200000
0,12,1,1,1.207000017,14.678400040,13.471400261,15.130900000
0,12,2,1,1.408640027,15.279239655,13.870599747,15.643300000
0,12,3,0,0.000000000,15.241580009,15.241580009,15.639300000
0,13,0,0,0.000000000,15.114620209,15.114620209,15.595000000
0,13,1,1,1.195479989,14.917180061,13.721699715,15.371200000
0,13,2,1,1.131639957,15.132240295,14.000599861,15.660900000
0,13,3,0,0.000000000,15.092140198,15.092140198,15.527900000
0,14,0,0,0.000000000,15.025819778,15.025819778,15.539200000
0,14,1,1,1.205080032,14.778180122,13.573100090,15.247500000
0,14,2,1,1.271119952,14.836420059,13.565299988,15.216800000
0,14,3,0,0.000000000,15.114919662,15.114919662,15.518400000
0,15,0,0,0.000000000,15.105999947,15.105999947,15.533600000
0,15,1,1,1.338199973,14.794799805,13.456600189,15.171600000
0,15,2,1,1.388080001,14.936180115,13.548100471,15.294500000
0,15,3,0,0.000000000,15.548199654,15.548199654,15.931300000
1,0,0,1,1.302700043,14.869400024,13.566699982,15.254300000
1,0,1,5,2.574840069,14.849639893,12.274800301,15.253500000
1,0,2,5,2.490060091,14.909159660,12.419099808,15.277400000
1,0,3,1,1.399559975,15.009659767,13.610099792,15.371500000
1,1,0,1,1.216799974,14.698499680,13.481699944,15.126800000
1,1,1,5,2.504040003,14.848139763,12.344099998,15.184500000
1,1,2,5,2.530719995,14.924320221,12.393600464,15.373400000
1,1,3,1,1.512979984,15.103380203,13.590399742,15.462400000
1,2,0,1,1.306859970,14.826959610,13.520099640,15.127200000
1,2,1,5,2.515059948,15.195460320,12.680399895,15.533100000
1,2,2,5,2.580339909,14.826539993,12.246199608,15.155700000
1,2,3,1,1.399500012,14.870400429,13.470899582,15.194300000
1,3,0,1,1.314360023,14.881059647,13.566699982,15.195500000
1,3,1,5,2.601320028,14.852120399,12.250800133,15.176000000
1,3,2,5,2.486299992,14.887200356,12.400899887,15.206400000
1,3,3,1,1.303339958,15.208640099,13.905300140,15.528300000
1,4,0,1,1.315879941,14.775079727,13.459199905,15.117000000
1,4,1,5,2.482899904,14.886199951,12.403300285,15.203900000
1,4,2,5,2.510699987,14.846699715,12.336000443,15.147700000
1,4,3,1,1.309239984,14.829839706,13.520600319,15.167200000
1,5,0,1,1.304700017,14.903200150,13.598500252,15.215800000
1,5,1,5,2.502540112,14.921139717,12.418600082,15.221900000
1,5,2,5,2.556060076,15.229339600,12.673279762,15.580700000
1,5,3,1,1.311920047,14.821220398,13.509300232,15.196300000
1,6,0,1,1.319360018,15.339460373,14.020099640,15.694600000
1,6,1,5,2.337800026,14.678999901,12.341199875,15.195800000
1,6,2,5,2.451900005,14.794400215,12.342499733,15.128800000
1,6,3,1,1.311820030,14.829620361,13.517800331,15.129000000
1,7,0,1,1.308459997,14.872559547,13.564100266,15.162800000
1,7,1,5,2.409480095,14.814579964,12.405099869,15.213500000
1,7,2,5,2.459919930,14.805620193,12.345700264,15.201700000
1,7,3,1,1.358459949,14.779159546,13.420700073,15.206400000
1,8,0,1,1.277879953,14.784779549,13.506899834,15.128900000
1,8,1,5,2.531759977,14.906459808,12.374699593,15.210700000
1,8,2,5,2.505179882,14.825280190,12.320099831,15.237600000
1,8,3,1,1.251500010,14.771100044,13.519599915,15.200300000
1,9,0,1,1.308619976,14.928819656,13.620200157,15.277800000
1,9,1,5,2.492219925,14.950220108,12.458000183,15.329200000
1,9,2,5,2.489399910,15.157699585,12.668299675,15.566900000
1,9,3,1,1.222779989,14.792679787,13.569899559,15.208500000
1,10,0,1,1.326879978,14.961480141,13.634599686,15.284300000
1,10,1,5,2.751660109,15.084059715,12.332400322,15.569400000
1,10,2,5,2.491719961,14.860119820,12.368399620,15.270800000
1,10,3,1,1.264379978,14.828479767,13.564100266,15.192000000
1,11,0,1,1.312899947,14.918299675,13.605400085,15.267800000
1,11,1,5,2.494379997,15.274080276,12.779700279,15.652400000
1,11,2,5,2.493360043,14.858260155,12.364899635,15.227300000
1,11,3,1,1.303719997,14.849220276,13.545499802,15.183300000
1,12,0,1,1.309540033,14.837039948,13.527500153,15.160600000
1,12,1,5,2.491319895,14.889719963,12.398400307,15.231600000
1,12,2,5,2.495359898,14.831259727,12.335900307,15.137900000
1,12,3,1,1.296159983,14.860859871,13.564700127,15.203400000
1,13,0,1,1.305539966,14.900639534,13.595100403,15.181600000
1,13,1,5,2.885159969,15.182660103,12.297499657,15.549300000
1,13,2,5,2.498239994,14.862540245,12.364299774,15.219600000
1,13,3,1,1.301759958,14.942859650,13.641099930,15.260900000
1,14,0,1,1.323480010,15.315380096,13.991900444,15.651900000
1,14,1,5,2.379260063,14.779859543,12.400600433,15.230300000
1,14,2,5,2.413719893,14.867919922,12.454199791,15.364400000
1,14,3,1,1.240720034,14.754220009,13.513500214,15.185100000
1,15,0,1,1.312299967,15.192399979,13.880100250,15.530300000
1,15,1,5,2.476779938,14.846679688,12.369899750,15.178500000
1,15,2,5,2.499540091,14.878439903,12.378899574,15.192500000
1,15,3,1,1.314499974,14.841099739,13.526599884,15.148800000
2,0,0,5,2.504800081,14.995699883,12.490900040,15.446800000
2,0,1,10,3.305340052,14.729140282,11.423800468,15.141000000
