frame,index,module,kernel,stage,groups,threads,count,start_ms,end_ms,duration_ms,frame_ms,scalar_args
0,92,mh_fused,mh_attention_fused_fp8_out,block29,448,128,448,9.480839729,9.541319847,0.060479999,23.410200119,_;_;_;56;32;512
0,93,mh_fast,mh_attention_project_frag_c512,block29,896,32,917504,9.542840004,9.608639717,0.065800004,23.410200119,_;_;_;_;1792;0;50;30;56;4;0
0,94,mh,mh_shift_pack,block30,4480,256,1146880,9.611639977,9.667840004,0.056200001,23.410200119,_;_;50;30;56;40;0;4;512;0
0,95,deep_fast,split_mix_blocked_h16w,block30,1120,32,1146880,9.675479889,9.745320320,0.069839999,23.410200119,_;_;_;2240
0,96,deep_fast,split_ffn_fused_fp8_t8,block30,1120,128,1146880,9.749159813,9.816960335,0.067800000,23.410200119,_;_;_;_;2240
0,97,deep_fast,split_projection_frag,block30,1120,32,1146880,9.818479538,9.877880096,0.059400000,23.410200119,_;_;_;_;_;2240
0,98,mh_fast,mh_qkv_normalize_frag_c512,block30,3360,32,3440640,9.882120132,9.960000038,0.077880003,23.410200119,_;_;_;2240
0,99,mh_fused,mh_attention_fused_fp8_out,block30,560,128,560,9.961400032,10.026720047,0.065320000,23.410200119,_;_;_;56;40;512
0,100,mh_fast,mh_attention_project_frag_c512,block30,1120,32,1146880,10.028079987,10.112159729,0.084080003,23.410200119,_;_;_;_;2240;3;50;30;56;0;4
0,101,mh,mh_pool,head,800,256,204800,10.115200043,10.168439865,0.053240001,23.410200119,_;_;25;16;50;25;15;512
0,102,mh_fast,mh_pool_project_production_h16w,head,1600,32,409600,10.173480034,10.262200356,0.088720001,23.410200119,_;_;_;25;16;25;15;512
0,103,deep,vit_gather,block31,1600,256,409600,10.264439583,10.316040039,0.051600002,23.410200119,_;_;_;409600
0,104,deep_fast,vit_pack_input,block31,400,256,102400,10.321240425,10.368680000,0.047440000,23.410200119,_;_;409600
0,105,deep_fast,vit_expand_blocked_fp8_frag_bytein,block31,1600,32,1638400,10.374679565,10.448280334,0.073600002,23.410200119,_;_;_;400;1024;4096
0,106,deep_fast,vit_contract_blocked_fp8_frag,block31,400,32,409600,10.450559616,10.532360077,0.081799999,23.410200119,_;_;_;_;400;4096;1024
0,107,deep_fast,vit_qkv_project_normalize_fused_f16compact_fp8_frag,block31,2400,32,1228800,10.534560204,10.623959541,0.089400001,23.410200119,_;_;_;400
0,108,deep_fast,vit_attention_fused_400_bytein,block31,800,32,204800,10.625679970,10.697079659,0.071400002,23.410200119,_;_;400
0,109,deep_fast,vit_project_frag,block31,1600,32,409600,10.699279785,10.784560204,0.085280001,23.410200119,_;_;_;_;400;1024;1024
0,110,deep_fast,vit_pack_input,block32,400,256,102400,10.786760330,10.840439796,0.053679999,23.410200119,_;_;409600
0,111,deep_fast,vit_expand_blocked_fp8_frag_bytein,block32,1600,32,1638400,10.846360207,10.921079636,0.074720003,23.410200119,_;_;_;400;1024;4096
0,112,deep_fast,vit_contract_blocked_fp8_frag,block32,400,32,409600,10.923319817,10.991120338,0.067800000,23.410200119,_;_;_;_;400;4096;1024
0,113,deep_fast,vit_qkv_project_normalize_fused_f16compact_fp8_frag,block32,2400,32,1228800,10.993359566,11.064399719,0.071039997,23.410200119,_;_;_;400
0,114,deep_fast,vit_attention_fused_400_bytein,block32,800,32,204800,11.066120148,11.139360428,0.073239997,23.410200119,_;_;400
0,115,deep_fast,vit_project_frag,block32,1600,32,409600,11.141599655,11.282959938,0.141360000,23.410200119,_;_;_;_;400;1024;1024
0,116,deep_fast,vit_pack_input,block33,400,256,102400,11.285160065,11.334239960,0.049079999,23.410200119,_;_;409600
0,117,deep_fast,vit_expand_blocked_fp8_frag_bytein,block33,1600,32,1638400,11.340200424,11.413960457,0.073760003,23.410200119,_;_;_;400;1024;4096
0,118,deep_fast,vit_contract_blocked_fp8_frag,block33,400,32,409600,11.416199684,11.499199867,0.082999997,23.410200119,_;_;_;_;400;4096;1024
0,119,deep_fast,vit_qkv_project_normalize_fused_f16compact_fp8_frag,block33,2400,32,1228800,11.501440048,11.589599609,0.088160001,23.410200119,_;_;_;400
0,120,deep_fast,vit_attention_fused_400_bytein,block33,800,32,204800,11.591279984,11.664440155,0.073160000,23.410200119,_;_;400
0,121,deep_fast,vit_project_frag,block33,1600,32,409600,11.666640282,11.751560211,0.084919997,23.410200119,_;_;_;_;400;1024;1024
0,122,deep_fast,vit_pack_input,block34,400,256,102400,11.753760338,11.802639961,0.048880000,23.410200119,_;_;409600
0,123,deep_fast,vit_expand_blocked_fp8_frag_bytein,block34,1600,32,1638400,11.807359695,11.860919952,0.053560000,23.410200119,_;_;_;400;1024;4096
0,124,deep_fast,vit_contract_blocked_fp8_frag,block34,400,32,409600,11.863200188,11.943599701,0.080399998,23.410200119,_;_;_;_;400;4096;1024
0,125,deep_fast,vit_qkv_project_normalize_fused_f16compact_fp8_frag,block34,2400,32,1228800,11.945839882,12.034119606,0.088280000,23.410200119,_;_;_;400
0,126,deep_fast,vit_attention_fused_400_bytein,block34,800,32,204800,12.035799980,12.110239983,0.074440002,23.410200119,_;_;400
0,127,deep_fast,vit_project_frag,block34,1600,32,409600,12.112480164,12.197360039,0.084880002,23.410200119,_;_;_;_;400;1024;1024
0,128,deep_fast,vit_pack_input,block35,400,256,102400,12.199560165,12.246040344,0.046480000,23.410200119,_;_;409600
0,129,deep_fast,vit_expand_blocked_fp8_frag_bytein,block35,1600,32,1638400,12.252039909,12.305000305,0.052960001,23.410200119,_;_;_;400;1024;4096
0,130,deep_fast,vit_contract_blocked_fp8_frag,block35,400,32,409600,12.307239532,12.387200356,0.079960003,23.410200119,_;_;_;_;400;4096;1024
0,131,deep_fast,vit_qkv_project_normalize_fused_f16compact_fp8_frag,block35,2400,32,1228800,12.389439583,12.482080460,0.092639998,23.410200119,_;_;_;400
0,132,deep_fast,vit_attention_fused_400_bytein,block35,800,32,204800,12.483759880,12.560919762,0.077160001,23.410200119,_;_;400
0,133,deep_fast,vit_project_frag,block35,1600,32,409600,12.563199997,12.647680283,0.084480003,23.410200119,_;_;_;_;400;1024;1024
0,134,deep_fast,vit_pack_input,block36,400,256,102400,12.649880409,12.697959900,0.048080001,23.410200119,_;_;409600
0,135,deep_fast,vit_expand_blocked_fp8_frag_bytein,block36,1600,32,1638400,12.704279900,12.755840302,0.051560000,23.410200119,_;_;_;400;1024;4096
0,136,deep_fast,vit_contract_blocked_fp8_frag,block36,400,32,409600,12.758079529,12.839520454,0.081440002,23.410200119,_;_;_;_;400;4096;1024
0,137,deep_fast,vit_qkv_project_normalize_fused_f16compact_fp8_frag,block36,2400,32,1228800,12.841759682,12.933239937,0.091480002,23.410200119,_;_;_;400
0,138,deep_fast,vit_attention_fused_400_bytein,block36,800,32,204800,12.934960365,13.009719849,0.074759997,23.410200119,_;_;400
0,139,deep_fast,vit_project_frag,block36,1600,32,409600,13.011960030,13.097160339,0.085199997,23.410200119,_;_;_;_;400;1024;1024
0,140,deep_fast,vit_pack_input,block37,400,256,102400,13.099360466,13.150719643,0.051360000,23.410200119,_;_;409600
0,141,deep_fast,vit_expand_blocked_fp8_frag_bytein,block37,1600,32,1638400,13.156760216,13.209079742,0.052320000,23.410200119,_;_;_;400;1024;4096
0,142,deep_fast,vit_contract_blocked_fp8_frag,block37,400,32,409600,13.211359978,13.292880058,0.081519999,23.410200119,_;_;_;_;400;4096;1024
0,143,deep_fast,vit_qkv_project_normalize_fused_f16compact_fp8_frag,block37,2400,32,1228800,13.295160294,13.385720253,0.090559997,23.410200119,_;_;_;400
0,144,deep_fast,vit_attention_fused_400_bytein,block37,800,32,204800,13.387399673,13.461879730,0.074479997,23.410200119,_;_;400
0,145,deep_fast,vit_project_frag,block37,1600,32,409600,13.464119911,13.549440384,0.085320003,23.410200119,_;_;_;_;400;1024;1024
0,146,deep_fast,vit_pack_input,block38,400,256,102400,13.551639557,13.600440025,0.048799999,23.410200119,_;_;409600
0,147,deep_fast,vit_expand_blocked_fp8_frag_bytein,block38,1600,32,1638400,13.605159760,13.658519745,0.053360000,23.410200119,_;_;_;400;1024;4096
0,148,deep_fast,vit_contract_blocked_fp8_frag,block38,400,32,409600,13.660759926,13.742159843,0.081400000,23.410200119,_;_;_;_;400;4096;1024
0,149,deep_fast,vit_qkv_project_normalize_fused_f16compact_fp8_frag,block38,2400,32,1228800,13.744400024,13.837759972,0.093359999,23.410200119,_;_;_;400
