slot,mode,round,edge,after,start_tick,end_tick,prefix_ms,whole_ms,tail_ms,wall_ms,valid
7,0,2,1,1,259642625,259642640,5.881040096,12.633440018,6.752399921,12.758000000,1
7,0,2,2,1,259642640,259642640,5.913760185,12.750579834,6.836820126,12.880000000,1
7,0,2,3,0,259642640,259642656,5.840119839,12.575119972,6.735000134,12.801000000,1
7,0,3,0,0,259642656,259642671,5.796679974,12.580479622,6.783800125,12.714000000,1
7,0,3,1,1,259642671,259642687,5.860380173,12.589179993,6.728799820,12.718000000,1
7,0,3,2,1,259642687,259642703,5.838419914,12.626819611,6.788400173,12.782000000,1
7,0,3,3,0,259642703,259642718,5.837379932,12.644379616,6.807000160,12.783000000,1
7,0,4,0,0,259642718,259642718,5.803279877,12.573180199,6.769899845,12.707000000,1
7,0,4,1,1,259642718,259642734,5.933000088,12.583459854,6.650459766,12.737000000,1
7,0,4,2,1,259642734,259642750,6.052599907,12.777299881,6.724699974,12.921000000,1
7,0,4,3,0,259642750,259642765,5.831120014,12.593720436,6.762599945,12.740000000,1
7,0,5,0,0,259642765,259642781,5.791440010,12.552080154,6.760640144,12.688000000,1
7,0,5,1,1,259642781,259642781,5.832479954,12.534979820,6.702499866,12.674000000,1
7,0,5,2,1,259642781,259642796,5.895359993,12.621740341,6.726379871,12.751000000,1
7,0,5,3,0,259642796,259642812,5.833159924,12.640859604,6.807700157,12.763000000,1
7,0,6,0,0,259642812,259642828,5.791359901,12.587459564,6.796100140,12.726000000,1
7,0,6,1,1,259642828,259642843,5.804399967,12.529500008,6.725100040,12.693000000,1
7,0,6,2,1,259642843,259642859,5.860380173,12.630579948,6.770199776,12.791000000,1
7,0,6,3,0,259642859,259642859,5.938600063,12.694319725,6.755720139,12.792000000,1
7,0,7,0,0,259642859,259642875,5.761300087,12.600399971,6.839099884,12.736000000,1
7,0,7,1,1,259642875,259642890,5.860020161,12.625720024,6.765699863,12.776000000,1
7,0,7,2,1,259642890,259642906,5.860939980,12.593540192,6.732600212,12.735000000,1
7,0,7,3,0,259642906,259642921,5.775100231,12.586199760,6.811100006,12.732000000,1
7,0,8,0,0,259642921,259642921,5.840640068,12.607839584,6.767199993,12.760000000,1
7,0,8,1,1,259642921,259642937,6.150020123,12.859820366,6.709799767,12.997000000,1
7,0,8,2,1,259642937,259642953,5.932320118,12.616459846,6.684140205,12.718000000,1
7,0,8,3,0,259642953,259642968,5.768080235,12.571880341,6.803800106,12.698000000,1
7,0,9,0,0,259642968,259642984,5.843100071,12.565819740,6.722720146,12.697000000,1
7,0,9,1,1,259642984,259643000,5.822800159,12.603500366,6.780700207,12.748000000,1
7,0,9,2,1,259643000,259643000,5.815839767,12.545240402,6.729400158,12.683000000,1
7,0,9,3,0,259643000,259643015,5.763199806,12.568400383,6.805200100,12.703000000,1
7,0,10,0,0,259643015,259643031,5.834839821,12.620539665,6.785699844,12.758000000,1
7,0,10,1,1,259643031,259643046,5.832859993,12.580960274,6.748099804,12.724000000,1
7,0,10,2,1,259643046,259643062,5.853579998,12.598480225,6.744900227,12.755000000,1
7,0,10,3,0,259643062,259643062,5.791840076,12.601539612,6.809700012,12.746000000,1
7,0,11,0,0,259643062,259643078,5.776199818,12.593500137,6.817299843,12.728000000,1
7,0,11,1,1,259643078,259643093,5.911139965,12.582019806,6.670879841,12.712000000,1
7,0,11,2,1,259643093,259643109,5.850820065,12.572460175,6.721640110,12.708000000,1
7,0,11,3,0,259643109,259643125,5.796160221,12.624959946,6.828800201,12.760000000,1
7,0,12,0,0,259643125,259643140,5.808320045,12.620619774,6.812300205,12.748000000,1
7,0,12,1,1,259643140,259643140,5.879740238,12.573200226,6.693459988,12.703000000,1
