kind,accumulators,groups,iterations,sample,launches,start_tick,end_tick,wall_ms,event_ms,flops_per_launch,wall_tflops,event_tflops
fp16,4,64,2048,3,51,196283078,196283234,155.185000000,154.838546753,549755813888,180.671756344,181.076011731
fp16,4,64,2048,4,51,196283234,196283375,154.321000000,154.034698486,549755813888,181.683286839,182.020978285
fp16,4,256,2048,0,14,196283546,196283718,158.477000000,158.313354492,2199023255552,194.263682287,194.464488965
fp16,4,256,2048,1,14,196283718,196283875,158.662000000,158.449478149,2199023255552,194.037170701,194.297424878
fp16,4,256,2048,2,14,196283875,196284031,158.551000000,158.346786499,2199023255552,194.173014221,194.423431371
fp16,4,256,2048,3,14,196284031,196284187,158.588000000,158.398696899,2199023255552,194.127711918,194.359714949
fp16,4,256,2048,4,14,196284187,196284343,158.881000000,158.679977417,2199023255552,193.769711783,194.015187542
fp16,4,1024,2048,0,4,196284578,196284765,186.055000000,185.916000366,8796093022208,189.107371954,189.248757608
fp16,4,1024,2048,1,4,196284765,196284968,193.037000000,192.818893433,8796093022208,182.267503581,182.473674973
fp16,4,1024,2048,2,4,196284968,196285156,193.389000000,193.042312622,8796093022208,181.935746546,182.262487487
fp16,4,1024,2048,3,4,196285156,196285343,188.001000000,187.830215454,8796093022208,187.149919888,187.320085875
fp16,4,1024,2048,4,4,196285343,196285531,191.408000000,191.265411377,8796093022208,183.818712326,183.955749424
fp16,8,64,2048,0,28,196285703,196285859,159.228000000,158.829605103,1099511627776,193.347436241,193.832412779
fp16,8,64,2048,1,28,196285859,196286031,159.218000000,158.933563232,1099511627776,193.359579807,193.705627380
fp16,8,64,2048,2,28,196286031,196286187,159.531000000,159.281341553,1099511627776,192.980208096,193.282686331
fp16,8,64,2048,3,28,196286187,196286343,159.607000000,159.345733643,1099511627776,192.888316789,193.204580217
fp16,8,64,2048,4,28,196286343,196286500,159.514000000,159.185775757,1099511627776,193.000774714,193.398721911
fp16,8,256,2048,0,7,196286671,196286828,150.733000000,150.394805908,4398046511104,204.244097694,204.703383151
fp16,8,256,2048,1,7,196286828,196286984,150.791000000,150.534393311,4398046511104,204.165537583,204.513565974
fp16,8,256,2048,2,7,196286984,196287125,150.752000000,150.453781128,4398046511104,204.218355828,204.623143047
fp16,8,256,2048,3,7,196287125,196287281,150.728000000,150.304611206,4398046511104,204.250872948,204.826221436
fp16,8,256,2048,4,7,196287281,196287437,150.681000000,150.471710205,4398046511104,204.314582314,204.598761693
fp16,8,1024,2048,0,2,196287703,196287890,180.958000000,180.784027100,17592186044416,194.433913333,194.621021853
fp16,8,1024,2048,1,2,196287890,196288062,180.936000000,180.747711182,17592186044416,194.457554543,194.660125203
fp16,8,1024,2048,2,2,196288062,196288250,184.608000000,184.396835327,17592186044416,190.589639067,190.807895517
fp16,8,1024,2048,3,2,196288250,196288437,183.403000000,183.227523804,17592186044416,191.841856943,192.025583048
fp16,8,1024,2048,4,2,196288437,196288625,185.453000000,185.291778564,17592186044416,189.721234430,189.886309913
fp16,16,64,2048,0,14,196288796,196288953,158.674000000,158.436614990,2199023255552,194.022496299,194.313199506
fp16,16,64,2048,1,14,196288953,196289109,158.490000000,158.329605103,2199023255552,194.247747982,194.444529548
fp16,16,64,2048,2,14,196289109,196289265,156.782000000,156.643386841,2199023255552,196.363903878,196.537665577
fp16,16,64,2048,3,14,196289265,196289421,158.691000000,158.386596680,2199023255552,194.001711362,194.374563398
fp16,16,64,2048,4,14,196289421,196289578,158.427000000,158.210083008,2199023255552,194.324992443,194.591425480
fp16,16,256,2048,0,4,196289812,196289984,179.721000000,179.521789551,8796093022208,195.772180707,195.989423773
fp16,16,256,2048,1,4,196289984,196290171,182.121000000,181.929412842,8796093022208,193.192284738,193.395732659
fp16,16,256,2048,2,4,196290171,196290343,180.624000000,180.472976685,8796093022208,194.793449867,194.956456835
fp16,16,256,2048,3,4,196290343,196290531,180.680000000,180.450317383,8796093022208,194.733075541,194.980937685
fp16,16,256,2048,4,4,196290531,196290718,183.058000000,182.826721191,8796093022208,192.203411426,192.446551902
fp16,16,1024,2048,0,2,196291265,196291625,362.143000000,361.949676514,35184372088832,194.312037448,194.415822817
